model,transform,image_id,image_path,source,category,label,score,score_kind,confidence,threshold,decision,missing,errors
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img163137.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000000_e786d8ccf218.jpg,wildfake_coco,real,0,5.893141860724427e-06,aigc_classifier_score,0.9999940991401672,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img159333.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000001_2f0f3bdc4458.jpg,wildfake_coco,real,0,6.137361197033897e-06,aigc_classifier_score,0.9999938607215881,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img162878.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000002_0b8b6fc333c7.jpg,wildfake_coco,real,0,6.033341833244776e-06,aigc_classifier_score,0.9999939203262329,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img159267.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000003_1ba028177295.jpg,wildfake_coco,real,0,0.09939118474721909,aigc_classifier_score,0.9006088972091675,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img159019.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000004_09370dc44630.jpg,wildfake_coco,real,0,9.324967322754674e-06,aigc_classifier_score,0.9999906420707703,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img162177.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000005_1674581feb2c.jpg,wildfake_coco,real,0,3.211613875464536e-05,aigc_classifier_score,0.9999678730964661,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img161477.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000006_d0f7cf163bbb.jpg,wildfake_coco,real,0,0.0002201097086071968,aigc_classifier_score,0.9997798800468445,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img160170.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000007_e88a3b57d297.jpg,wildfake_coco,real,0,0.9971049427986145,aigc_classifier_score,0.9970835447311401,0.20659826695919037,True,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img159912.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000008_5297619dfbaa.jpg,wildfake_coco,real,0,5.931896794209024e-06,aigc_classifier_score,0.9999940991401672,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img163257.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000009_9f7223190000.jpg,wildfake_coco,real,0,1.1902496225957293e-05,aigc_classifier_score,0.9999880790710449,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img162952.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000010_a0f4ee7a932a.jpg,wildfake_coco,real,0,6.816543191234814e-06,aigc_classifier_score,0.9999932646751404,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img160969.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000011_f84175fdb15a.jpg,wildfake_coco,real,0,9.293084076489322e-06,aigc_classifier_score,0.999990701675415,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img163155.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000012_1c3ebf636c1f.jpg,wildfake_coco,real,0,1.261312445421936e-05,aigc_classifier_score,0.9999873638153076,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img159523.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000013_3d7809f71c0e.jpg,wildfake_coco,real,0,5.9122767197550274e-06,aigc_classifier_score,0.9999940991401672,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img160071.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000014_ee87212997c6.jpg,wildfake_coco,real,0,0.9883350133895874,aigc_classifier_score,0.9786400198936462,0.20659826695919037,True,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img162003.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000015_5cf5cca75957.jpg,wildfake_coco,real,0,5.886857707082527e-06,aigc_classifier_score,0.999994158744812,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img160078.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000016_75ceac498690.jpg,wildfake_coco,real,0,6.4938085415633395e-06,aigc_classifier_score,0.9999934434890747,0.20659826695919037,False,False,[]
patchhead_baseline,clean,wildfake:coco:Real/coco/coco2017/val2017/img163574.jpg,results/parallel_evaluation/patchhead_baseline/views/patchhead_baseline/clean/000017_23967cad3cb7.jpg,wildfake_coco,real,0,6.37276889392524e-06,aigc_classifier_score,0.999993622303009,0.20659826695919037,False,False,[]
